Expression	Value	Location	Type	
number_items_dr	0	0x200167D0	unsigned int	
number_changes_into_dr_record	0	0x200167D4	unsigned int	
drUniqVarsAddreses	Error (col 1): Unknown or ambiguous symbol. drUniqVarsAddreses			
previous_active_functions	Error (col 1): Unknown or ambiguous symbol. previous_active_functions			
pDbgViewCmd	active_functions (0x20015CD4)	0x20000008	CmdFunctionDepot *	
w1	<union>	0x20015CD4	U32_cmd1_wrp	
bool_val	<struct>	0x20015CD4	struct <Unnamed 38>	
BLOCK_VKL_VV	0	0x20015CD4	unsigned int	
RESET_LEDS	0	0x20015CD4	unsigned int	
RESET_RELES	0	0x20015CD4	unsigned int	
MISCEVE_DYSTANCIJNE	0	0x20015CD4	unsigned int	
STATE_VV	0	0x20015CD4	unsigned int	
OTKL_VID_ZOVN_ZAHYSTIV	0	0x20015CD4	unsigned int	
VKL_VV	0	0x20015CD4	unsigned int	
CTRL_VKL	0	0x20015CD4	unsigned int	
OTKL_VV	0	0x20015CD4	unsigned int	
CTRL_OTKL	0	0x20015CD4	unsigned int	
PRYVID_VV	0	0x20015CD4	unsigned int	
PEREVYSHCHENNJA_Inom_V	0	0x20015CD4	unsigned int	
KRYTYCHNYJ_RESURS_VYMY	1	0x20015CD4	unsigned int	
VYCHERPANYJ_RESURS_VYM	1	0x20015CD4	unsigned int	
DEFECT	0	0x20015CD4	unsigned int	
AVAR_DEFECT	0	0x20015CD4	unsigned int	
WORK_A_REJESTRATOR	0	0x20015CD4	unsigned int	
WORK_D_REJESTRATOR	0	0x20015CD4	unsigned int	
VIDKL_VID_ZAKHYSTIV	0	0x20015CD4	unsigned int	
WORK_BO	0	0x20015CD4	unsigned int	
WORK_BV	0	0x20015CD4	unsigned int	
l1_GRUPA_USTAVOK	1	0x20015CD4	unsigned int	
l2_GRUPA_USTAVOK	0	0x20015CD4	unsigned int	
l3_GRUPA_USTAVOK	0	0x20015CD4	unsigned int	
l4_GRUPA_USTAVOK	0	0x20015CD4	unsigned int	
INVERS_DV_GRUPA_USTAVO	1	0x20015CD4	unsigned int	
BLK_GRUP_USTAVOK_VID_Z	0	0x20015CD4	unsigned int	
RESET_BLOCK_READY_TU_V	0	0x20015CD4	unsigned int	
READY_TU	1	0x20015CD4	unsigned int	
SETTINGS_CHANGED	0	0x20015CD4	unsigned int	
BLOCK_MTZ1	0	0x20015CD4	unsigned int	
BLOCK_MTZ2	0	0x20015CD4	unsigned int	
U32V	0x12203000	0x20015CD4	unsigned long	
w2	<union>	0x20015CD8	U32_cmd2_wrp	
bool_val	<struct>	0x20015CD8	struct <Unnamed 39>	
BLOCK_USK_MTZ2	0	0x20015CD8	unsigned int	
BLOCK_MTZ3	0	0x20015CD8	unsigned int	
BLOCK_MTZ4	0	0x20015CD8	unsigned int	
SECTOR_VPERED_MTZN1	0	0x20015CD8	unsigned int	
SECTOR_NAZAD_MTZN1	0	0x20015CD8	unsigned int	
